0;Sopa;Juliana;
0;Prato;Pato Pequim;
0;Salada;;
0;Sobremesa;Fruta da época;
1;Sopa;Juliana;
1;Prato;Jardineira;
1;Salada;Salada de Alface e Tomate c/Ananás;
1;Sobremesa;Fruta da época;
2;Sopa;Sopa de Carne com Batata;
2;Prato;Bacalhau com Natas;
2;Salada;Salada de Alface e Tomate c/Ananás;
2;Sobremesa;Fruta da época;
3;Sopa;Juliana;
3;Prato;Jardineira;
3;Salada;Salada Russa;
3;Sobremesa;Fruta da época;
4;Sopa;Juliana;
4;Prato;Bacalhau com Natas;
4;Salada;Salada de Alface e Tomate c/Ananás;
4;Sobremesa;;
