0;Sopa;Sopa de espinafres;
0;Prato;Pato Pequim;
0;Salada;Salada de Alface e Tomate com Ananás;
0;Sobremesa;Gelado de Limão;
0;Acompanhamento;;
1;Sopa;Sopa de espinafres;
1;Prato;Bacalhau com Natas;
1;Salada;Salada de Alface e Tomate com Ananás;
1;Sobremesa;Fruta da época;
1;Acompanhamento;;
2;Sopa;Sopa de espinafres;
2;Prato;Jardineira;
2;Salada;Salada Russa;
2;Sobremesa;Gelado de Limão;
2;Acompanhamento;;
3;Sopa;Sopa de espinafres;
3;Prato;Bacalhau com Natas;
3;Salada;Salada Russa;
3;Sobremesa;Fruta da época;
3;Acompanhamento;;
4;Sopa;Sopa de espinafres;
4;Prato;Sopa de Grão;
4;Salada;Salada de Alface e Tomate com Ananás;
4;Sobremesa;Fruta da época;
4;Acompanhamento;;
