Sopa de Grão
339;Alheira cozida sem adição de sal; 100.00; 269.00;1130.00;  14.00;   4.10;  26.80;   8.30;   1.50;   1.00
729;Aguardente; 200.00; 616.00;2560.00;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00
801;Abrótea cozida; 100.00;  79.00; 334.00;   0.10;   0.00;   0.00;  19.40;   0.90;   0.00
396;""Shortening" para pastelaria"; 100.00; 878.00;3610.00;  97.50;  86.90;   0.00;   0.00;   0.00;   0.00
729;Aguardente; 500.00;1540.00;6400.00;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00
1222;Pulmões de porco ; 100.00; 101.00; 425.00;   5.00;   0.90;   0.20;  13.90;   0.40;   0.20
Pato Pequim
963;Chá. infusão. verde; 100.00;   0.00;   2.00;   0.00;   0.00;   0.00;   0.10;   0.00;   0.00
767;Café. infusão - bica (3 marcas);  75.00;   3.00;  12.00;   0.07;   0.00;   0.23;   0.30;   0.00;   0.00
729;Aguardente; 300.00; 924.00;3840.00;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00
Bacalhau com Natas
Jardineira
1216;Baço de porco; 230.00; 246.10;1035.00;   8.74;   2.76;   0.92;  40.94;   0.69;   0.92
;passos para preparar a refeição
;
